["'percentiles90_vel_on_t7'", 0.5085357142857143]
["'snr_ice_y_t7'", 0.5067142857142857]
["'speed_t7'", 0.5061428571428572]
["'interQuartiles_vel_off_t8'", 0.5054285714285713]
["'y_renyi2_i2_t7'", 0.5019999999999998]
["'moments5_pressure_rate_t2'", 0.5009642857142856]
["'percentiles90_jerk_off_t3'", 0.5004642857142857]
["'moments4_x_acc_off_t8'", 0.4916071428571429]
["'moments4_x_jerk_off_t8'", 0.4891071428571428]
["'moments4_x_vel_off_t8'", 0.48800000000000004]
["'trimMean40_acc_on_t4'", 0.4743571428571428]
["'percentiles95_x_jerk_on_t7'", 0.46746428571428567]
["'trimMean40_strokespeed_t1'", 0.45971428571428546]
["'moments4_acc_off_t8'", 0.441]
["'interQuartiles_acc_on_t3'", 0.4355]
["'moments4_jerk_off_t8'", 0.4298571428571428]
["'moments4_vel_off_t8'", 0.42864285714285705]
["'moments6_x_vel_off_t8'", 0.4049642857142857]
["'moments5_jerk_off_t8'", 0.4015714285714286]
["'moments5_vel_off_t8'", 0.398642857142857]
["'moments5_x_vel_on_t7'", 0.39832142857142855]
["'moments5_acc_off_t8'", 0.39789285714285716]
["'moments6_vel_off_t8'", 0.39578571428571435]
["'moments5_x_jerk_off_t8'", 0.3950000000000001]
["'percentiles1_pressure_rate_t7'", 0.3937142857142857]
["'moments5_x_vel_off_t8'", 0.39282142857142843]
["'moments6_strokespeed_t8'", 0.3916428571428572]
["'modes_acc_off_t1'", 0.388142857142857]
["'moments6_x_acc_off_t8'", 0.3880357142857143]
["'moments5_strokespeed_t8'", 0.3871428571428572]
["'percentiles1_pressure_rate_t8'", 0.38682142857142865]
["'moments5_x_jerk_off_t1'", 0.3863928571428569]
["'percentiles1_pressure_rate_t3'", 0.38517857142857137]
["'percentiles1_pressure_rate_t6'", 0.3846785714285714]
["'moments5_x_acc_off_t8'", 0.3834642857142857]
["'percentiles1_pressure_rate_t2'", 0.38192857142857145]
["'moments6_x_jerk_off_t8'", 0.38175]
["'percentiles1_pressure_rate_t4'", 0.3715357142857143]
["'interQuartiles_x_jerk_on_t8'", 0.36617857142857135]
["'moments3_x_jerk_on_t8'", 0.36289285714285724]
["'percentiles1_pressure_rate_t1'", 0.3612857142857143]
["'moments6_x_vel_on_t7'", 0.35264285714285715]
