["'x_renyi2_i2_t6'", 0.5461666666666667]
["'arithMean_strokespeed_t8'", 0.5456666666666667]
["'percentiles30_x_vel_on_t3'", 0.5434999999999999]
["'trimMean10_acc_on_t8'", 0.5431666666666667]
["'percentiles30_pressure_rate_t8'", 0.5423333333333334]
["'trimMean30_vel_off_t8'", 0.5423333333333332]
["'trimMean20_vel_off_t8'", 0.542166666666667]
["'modes_strokespeed_t3'", 0.5415000000000001]
["'rel_NCA_off_t2'", 0.5395]
["'percentiles90_x_vel_on_t6'", 0.5379999999999999]
["'moments5_strokespeed_t3'", 0.5331666666666667]
["'robustRange_vel_on_t8'", 0.5293333333333332]
["'y_renyi2_i2_t8'", 0.5286666666666668]
["'percentiles99_vel_on_t8'", 0.5278333333333333]
["'trimMean30_pressure_rate_t8'", 0.5263333333333332]
["'x_renyi2_i1_t6'", 0.5261666666666668]
["'y_renyi2_i2_t7'", 0.5254999999999999]
["'trimMean20_acc_on_t8'", 0.5245]
["'geoMean_pressure_rate_t8'", 0.5220000000000001]
["'medians_pressure_rate_t8'", 0.5213333333333332]
["'moments5_strokespeed_t8'", 0.5186666666666667]
["'y_shannon_t8'", 0.5169999999999998]
["'trimMean20_pressure_rate_t8'", 0.5123333333333333]
["'percentiles95_acc_on_t6'", 0.5121666666666668]
["'percentiles90_x_vel_on_t7'", 0.5063333333333333]
["'percentiles90_y_acc_on_t8'", 0.5023333333333333]
["'moments4_strokespeed_t8'", 0.4846666666666665]
["'percentiles95_x_acc_on_t8'", 0.48233333333333334]
["'geoMean_acc_off_t8'", 0.4753333333333334]
["'speed_t8'", 0.475]
["'x_renyi3_i1_t6'", 0.4744999999999998]
["'percentiles90_x_acc_on_t8'", 0.46733333333333343]
["'y_renyi3_i2_t7'", 0.4641666666666665]
["'y_shannon_i2_t8'", 0.4621666666666668]
["'arithMean_y_acc_on_t8'", 0.4606666666666667]
["'percentiles95_x_acc_on_t6'", 0.451]
["'rel_NCV_off_t6'", 0.4508333333333333]
["'trimMean30_y_acc_on_t8'", 0.4451666666666666]
["'geoMean_acc_on_t8'", 0.4203333333333334]
["'trimMean40_acc_on_t8'", 0.4173333333333334]
["'arithMean_x_acc_on_t8'", 0.4143333333333334]
["'trimMean5_y_acc_on_t8'", 0.4098333333333333]
["'trimMean30_acc_on_t8'", 0.4076666666666667]
["'trimMean10_y_acc_on_t8'", 0.401]
["'trimMean30_x_acc_off_t8'", 0.3964999999999999]
["'x_shannon_i2_t8'", 0.3955]
["'trimMean20_y_acc_on_t8'", 0.3943333333333333]
["'trimMean40_acc_off_t8'", 0.3941666666666667]
["'NCV_on_t8'", 0.3931666666666667]
["'x_shannon_i1_t6'", 0.3771666666666667]
["'trimMean5_x_acc_on_t8'", 0.3771666666666667]
["'trimMean5_acc_on_t6'", 0.37266666666666665]
["'x_shannon_i2_t3'", 0.36766666666666675]
["'snr_ice_x_t8'", 0.36416666666666664]
["'trimMean30_x_acc_on_t8'", 0.36333333333333334]
["'arithMean_x_jerk_on_t8'", 0.3600000000000001]
["'arithMean_jerk_on_t8'", 0.3579999999999999]
["'x_shannon_i2_t6'", 0.35700000000000004]
["'percentiles20_jerk_on_t8'", 0.3533333333333333]
["'medians_y_jerk_on_t8'", 0.3526666666666667]
["'percentiles30_jerk_on_t8'", 0.3523333333333334]
["'trimMean20_acc_on_t6'", 0.34766666666666673]
["'trimMean30_y_jerk_on_t8'", 0.34633333333333327]
["'medians_y_jerk_on_t6'", 0.3451666666666668]
["'trimMean10_y_jerk_on_t8'", 0.34333333333333343]
["'trimMean40_x_jerk_on_t8'", 0.34166666666666673]
["'trimMean10_x_acc_on_t8'", 0.34166666666666656]
["'trimMean5_y_jerk_on_t8'", 0.33866666666666667]
["'y_shannon_i2_t4'", 0.3383333333333334]
["'percentiles95_x_jerk_on_t8'", 0.3381666666666667]
["'trimMean10_jerk_on_t8'", 0.33633333333333326]
["'arithMean_y_jerk_on_t8'", 0.336]
["'percentiles30_jerk_on_t6'", 0.33516666666666667]
["'x_shannon_i1_t8'", 0.335]
["'trimMean30_x_jerk_on_t8'", 0.3348333333333333]
["'percentiles25_jerk_on_t6'", 0.3340000000000001]
["'percentiles25_jerk_on_t8'", 0.3336666666666667]
["'trimMean30_x_jerk_on_t6'", 0.33366666666666656]
["'trimMean40_y_jerk_on_t8'", 0.33333333333333326]
["'trimMean10_x_jerk_on_t8'", 0.3308333333333335]
["'trimMean40_y_jerk_on_t6'", 0.3306666666666667]
["'trimMean30_y_jerk_on_t6'", 0.3305000000000001]
["'trimMean5_jerk_on_t8'", 0.3303333333333333]
["'trimMean20_y_jerk_on_t8'", 0.3303333333333333]
["'geoMean_x_jerk_on_t6'", 0.3299999999999999]
["'trimMean20_x_jerk_on_t8'", 0.3293333333333333]
["'percentiles90_jerk_on_t8'", 0.3291666666666667]
["'trimMean30_jerk_on_t8'", 0.32866666666666683]
["'trimMean30_x_acc_on_t6'", 0.3268333333333334]
["'percentiles95_jerk_on_t8'", 0.326]
["'trimMean40_x_jerk_on_t6'", 0.3256666666666666]
["'trimMean30_y_acc_off_t2'", 0.3253333333333333]
["'moments6_strokespeed_t8'", 0.3253333333333333]
["'trimMean20_jerk_on_t8'", 0.325]
["'percentiles95_x_jerk_on_t6'", 0.3245000000000001]
["'arithMean_x_acc_on_t6'", 0.3238333333333334]
["'trimMean5_x_acc_on_t6'", 0.32300000000000006]
["'geoMean_y_jerk_off_t2'", 0.32283333333333325]
["'percentiles90_y_jerk_on_t8'", 0.32266666666666666]
["'trimMean5_x_jerk_on_t8'", 0.3221666666666666]
["'geoMean_y_acc_on_t8'", 0.3215]
["'trimMean10_x_jerk_on_t6'", 0.31983333333333336]
["'trimMean10_jerk_on_t6'", 0.31916666666666665]
["'percentiles95_x_jerk_on_t7'", 0.3188333333333333]
["'trimMean40_jerk_on_t8'", 0.3161666666666667]
["'trimMean20_x_jerk_on_t6'", 0.31533333333333335]
["'trimMean30_acc_on_t6'", 0.3148333333333333]
["'trimMean40_acc_on_t6'", 0.3143333333333334]
["'percentiles1_pressure_rate_t7'", 0.3135]
["'trimMean20_x_acc_on_t8'", 0.3134999999999999]
["'trimMean20_jerk_on_t6'", 0.3129999999999999]
["'trimMean40_acc_on_t4'", 0.3128333333333333]
["'arithMean_x_jerk_on_t6'", 0.3108333333333333]
["'geoMean_y_jerk_on_t8'", 0.3103333333333333]
["'arithMean_y_jerk_on_t6'", 0.3096666666666666]
["'trimMean40_acc_on_t3'", 0.30833333333333335]
["'trimMean30_jerk_on_t6'", 0.30816666666666676]
["'snr_ice_y_t2'", 0.30816666666666664]
["'trimMean20_x_acc_on_t6'", 0.30783333333333335]
["'trimMean5_jerk_on_t6'", 0.30750000000000005]
["'y_shannon_i1_t8'", 0.30750000000000005]
["'percentiles95_y_jerk_on_t6'", 0.3071666666666667]
["'trimMean10_x_acc_on_t6'", 0.3065]
["'percentiles90_x_jerk_on_t8'", 0.30616666666666675]
["'percentiles95_y_jerk_on_t8'", 0.3061666666666667]
["'snr_ice_y_t7'", 0.3060000000000001]
["'x_shannon_i2_t2'", 0.3056666666666667]
["'moments3_x_jerk_on_t8'", 0.30516666666666664]
["'medians_jerk_on_t8'", 0.30366666666666664]
["'trimMean5_y_jerk_on_t6'", 0.30250000000000005]
["'geoMean_x_acc_on_t8'", 0.30200000000000005]
["'snr_tke2_x_t8'", 0.302]
["'interQuartiles_y_jerk_on_t8'", 0.30149999999999993]
["'arithMean_jerk_on_t6'", 0.29950000000000004]
["'snr_ice_y_t4'", 0.29899999999999993]
["'trimMean20_y_jerk_on_t6'", 0.2984999999999999]
["'snr_ce_y_t8'", 0.2983333333333333]
["'y_shannon_i2_t2'", 0.29700000000000004]
["'percentiles1_pressure_rate_t8'", 0.29633333333333334]
["'trimMean5_x_jerk_on_t6'", 0.29599999999999993]
["'snr_ice_y_t8'", 0.29583333333333334]
["'percentiles1_pressure_rate_t3'", 0.2955]
["'percentiles1_pressure_rate_t4'", 0.2955]
["'medians_y_acc_off_t2'", 0.2948333333333334]
["'snr_ce_x_t8'", 0.2940000000000001]
["'snr_ice_x_t6'", 0.2933333333333334]
["'trimMean10_y_jerk_on_t6'", 0.2914999999999999]
["'percentiles1_pressure_rate_t2'", 0.2891666666666667]
["'snr_tke1_x_t8'", 0.2868333333333334]
["'percentiles1_pressure_rate_t6'", 0.28350000000000003]
["'NCV_on_t6'", 0.2833333333333334]
